seed_id,target_id,source_ideology,source_topic,rank,condition
zaUVwiD2keU,riPhavChrVM,anti_feminism,gender_conflict_discourse,12,baseline 
zaUVwiD2keU,hCvz-srP6bE,anti_feminism,gender_conflict_discourse,13,baseline 
zaUVwiD2keU,oO3uVjs_1gg,anti_feminism,gender_conflict_discourse,14,baseline 
zaUVwiD2keU,uXOGRdTX2pY,anti_feminism,gender_conflict_discourse,15,baseline 
zaUVwiD2keU,VToEAj-Iwd8,anti_feminism,gender_conflict_discourse,16,baseline 
zaUVwiD2keU,pX1mZumMQ8s,anti_feminism,gender_conflict_discourse,17,baseline 
zaUVwiD2keU,Yy0jDix3rpU,anti_feminism,gender_conflict_discourse,18,baseline 
zaUVwiD2keU,etU12hGn7IA,anti_feminism,gender_conflict_discourse,19,baseline 
zaUVwiD2keU,E5eu-5CmSu4,anti_feminism,gender_conflict_discourse,20,baseline 
2F4R2yv9Vv0,BPfaGBehW98,anti_feminism,electoral_generational_conflict,1,baseline 
2F4R2yv9Vv0,yu2nWsAIVcE,anti_feminism,electoral_generational_conflict,2,baseline 
2F4R2yv9Vv0,h6hZNwiMMx4,anti_feminism,electoral_generational_conflict,3,baseline 
2F4R2yv9Vv0,9cFM1kKWqxE,anti_feminism,electoral_generational_conflict,4,baseline 
2F4R2yv9Vv0,KSsNViYImt0,anti_feminism,electoral_generational_conflict,5,baseline 
2F4R2yv9Vv0,E6ACxaFfrTM,anti_feminism,electoral_generational_conflict,6,baseline 
2F4R2yv9Vv0,NkHy4u6B5iQ,anti_feminism,electoral_generational_conflict,7,baseline 
2F4R2yv9Vv0,x_5g8eAz424,anti_feminism,electoral_generational_conflict,8,baseline 
2F4R2yv9Vv0,3oozJssFCxY,anti_feminism,electoral_generational_conflict,9,baseline 
2F4R2yv9Vv0,12NlsNn2JME,anti_feminism,electoral_generational_conflict,10,baseline 
2F4R2yv9Vv0,SxYEtMjZWcs,anti_feminism,electoral_generational_conflict,11,baseline 
2F4R2yv9Vv0,gPKvdWJJdEY,anti_feminism,electoral_generational_conflict,12,baseline 
2F4R2yv9Vv0,nNPX4ecX-dY,anti_feminism,electoral_generational_conflict,13,baseline 
2F4R2yv9Vv0,HfqzzulL3k0,anti_feminism,electoral_generational_conflict,14,baseline 
2F4R2yv9Vv0,cL1EsgFqVLU,anti_feminism,electoral_generational_conflict,15,baseline 
2F4R2yv9Vv0,uXCPOZdxZHo,anti_feminism,electoral_generational_conflict,16,baseline 
